       h	Fehler D+	Fehler D-	Fehler D
        1.0e-02	-0.0026857852935791      	 0.0027143955230713     	0.0000143051147461
        1.0e-03	-0.0002658963203430      	 0.0002705454826355     	0.0000023245811462
        1.0e-04	-0.0001466870307922      	 -0.0001466870307922     	-0.0001466870307922
        1.0e-05	0.0010453462600708      	 -0.0049151182174683     	-0.0019348859786987
        1.0e-06	0.0666104555130005      	 -0.0525988340377808     	0.0070058107376099
        1.0e-07	0.2454244494438171      	 -0.3506220579147339     	-0.0525988340377808
        1.0e-08	0.8414709568023682      	 0.8414709568023682     	0.8414709568023682
        1.0e-09	0.8414709568023682      	 0.8414709568023682     	0.8414709568023682
        1.0e-10	0.8414709568023682      	 0.8414709568023682     	0.8414709568023682
        1.0e-11	0.8414709568023682      	 0.8414709568023682     	0.8414709568023682
